Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,Latitude,Longitude,Zestimate (USD)
"https://www.zillow.com/homedetails/7124-Brancher-Rd-Fort-Worth-TX-76119/337076468_zpid/","","House for sale","Single Family","0","06/24/2025","549900","2635","sqft","208.69","10454.4","sqft","4","4","7124 Brancher Rd","Fort Worth","76119","TX","USA","32.868244","-97.44338","545600"
"https://www.zillow.com/homedetails/4424-Rockwood-Dr-Fort-Worth-TX-76114/28939572_zpid/","","For sale by owner","Single Family","0","06/24/2025","369000","1202","sqft","306.99","0.5","acres","3","2","4424 Rockwood Dr","Fort Worth","76114","TX","USA","32.76284","-97.385704","232100"
"https://www.zillow.com/homedetails/2529-Forest-Creek-Dr-Fort-Worth-TX-76123/29226569_zpid/","","House for sale","Single Family","4","06/20/2025","310000","2409","sqft","128.68","5445","sqft","4","3","2529 Forest Creek Dr","Fort Worth","76123","TX","USA","32.629726","-97.35843",""
"https://www.zillow.com/homedetails/7807-Raton-Ridge-Ln-Arlington-TX-76002/79964687_zpid/","","House for sale","Single Family","0","06/24/2025","399900","2250","sqft","177.73","9801","sqft","4","2","7807 Raton Ridge Ln","Arlington","76002","TX","USA","32.617958","-97.10601",""
"https://www.zillow.com/homedetails/1416-Sweetgum-Cir-Keller-TX-76248/29239868_zpid/","","House for sale","Single Family","0","06/24/2025","405000","1832","sqft","221.07","10672.2","sqft","3","2","1416 Sweetgum Cir","Keller","76248","TX","USA","32.904537","-97.226685","440600"
"https://www.zillow.com/homedetails/4429-Monnig-Ln-Fort-Worth-TX-76244/66642814_zpid/","","House for sale","Single Family","0","06/24/2025","399950","2137","sqft","187.15","6534","sqft","3","2","4429 Monnig Ln","Fort Worth","76244","TX","USA","32.915485","-97.29054","395500"
"https://www.zillow.com/homedetails/17-Zachary-Ct-Mansfield-TX-76063/70568917_zpid/","","House for sale","Single Family","5","06/19/2025","349997","2016","sqft","173.61","7797.24","sqft","4","3","17 Zachary Ct","Mansfield","76063","TX","USA","32.59753","-97.10441","347200"
"https://www.zillow.com/homedetails/4249-Moon-Dr-Fort-Worth-TX-76244/83791761_zpid/","","Home for sale","Manufactured","0","06/24/2025","79900","1624","sqft","49.2","1624","sqft","3","2","4249 Moon Dr","Fort worth","76244","TX","USA","32.936504","-97.29214",""
"https://www.zillow.com/homedetails/55-Thousand-Oaks-Dr-Mansfield-TX-76063/247427176_zpid/","","Home for sale","Manufactured","0","06/24/2025","52500","1216","sqft","43.17","1216","sqft","3","2","55 Thousand Oaks Dr","Mansfield","76063","TX","USA","32.58402","-97.158585","98200"
"https://www.zillow.com/homedetails/9921-Chadbourne-Rd-Fort-Worth-TX-76244/66639940_zpid/","","House for sale","Single Family","0","06/24/2025","429000","3144","sqft","136.45","5227.2","sqft","4","4","9921 Chadbourne Rd","Fort Worth","76244","TX","USA","32.92122","-97.29981","409800"
"https://www.zillow.com/homedetails/6321-Cobblestone-Ln-Arlington-TX-76001/29297344_zpid/","","House for sale","Single Family","0","06/24/2025","475000","2748","sqft","172.85","9801","sqft","4","3","6321 Cobblestone Ln","Arlington","76001","TX","USA","32.642784","-97.145065","466400"
"https://www.zillow.com/homedetails/2549-Birchcrest-Dr-Fort-Worth-TX-76179/2055425397_zpid/","","House for sale","Single Family","0","06/24/2025","474990","2172","sqft","218.69","7448.76","sqft","4","3","2549 Birchcrest Dr","Fort Worth","76179","TX","USA","32.899258","-97.410034",""
"https://www.zillow.com/homedetails/4716-Everest-Dr-Fort-Worth-TX-76132/29153881_zpid/","","House for sale","Single Family","4","06/20/2025","295000","1147","sqft","257.19","9321.84","sqft","3","2","4716 Everest Dr","Fort Worth","76132","TX","USA","32.66884","-97.39445","286200"
"https://www.zillow.com/homedetails/4147-Woodside-Knl-Grapevine-TX-76051/29192282_zpid/","","House for sale","Single Family","4","06/20/2025","550000","2317","sqft","237.38","8494.2","sqft","4","3","4147 Woodside Knl","Grapevine","76051","TX","USA","32.890434","-97.12238","535500"
"https://www.zillow.com/homedetails/5209-Cordova-Ave-Fort-Worth-TX-76132/29147951_zpid/","","House for sale","Single Family","3","06/21/2025","395000","2145","sqft","184.15","0.26","acres","4","2","5209 Cordova Ave","Fort Worth","76132","TX","USA","32.672222","-97.386345","381600"
"https://www.zillow.com/homedetails/2700-Birch-Park-Dr-Richland-Hills-TX-76118/29075038_zpid/","","House for sale","Single Family","4","06/20/2025","295000","1104","sqft","267.21","7797.24","sqft","3","2","2700 Birch Park Dr","Richland Hills","76118","TX","USA","32.799385","-97.227036","289800"
"https://www.zillow.com/homedetails/3767-Matson-St-Haltom-City-TX-76117/448311721_zpid/","","House for sale","Single Family","4","06/20/2025","269000","1238","sqft","217.29","9931.68","sqft","3","2","3767 Matson St","Haltom City","76117","TX","USA","32.81939","-97.26367","266200"
"https://www.zillow.com/homedetails/5809-Westhaven-Dr-Fort-Worth-TX-76132/29154012_zpid/","","House for sale","Single Family","26","05/29/2025","310000","1689","sqft","183.54","10497.96","sqft","4","2","5809 Westhaven Dr","Fort Worth","76132","TX","USA","32.664467","-97.39459","304600"
"https://www.zillow.com/homedetails/4925-Terrace-Trl-Fort-Worth-TX-76114/29043058_zpid/","","House for sale","Single Family","7","06/17/2025","399900","2447","sqft","163.42","0.34","acres","4","3","4925 Terrace Trl","Fort Worth","76114","TX","USA","32.796112","-97.39348","386800"
"https://www.zillow.com/homedetails/1404-Kendal-Dr-Mansfield-TX-76063/29288280_zpid/","","House for sale","Single Family","2","06/22/2025","411800","2611","sqft","157.72","7492.32","sqft","4","4","1404 Kendal Dr","Mansfield","76063","TX","USA","32.597393","-97.1181","405900"
"https://www.zillow.com/homedetails/1130-Clubhouse-Dr-Mansfield-TX-76063/29137752_zpid/","","House for sale","Single Family","2","06/22/2025","495000","2511","sqft","197.13","0.28","acres","4","3","1130 Clubhouse Dr","Mansfield","76063","TX","USA","32.584427","-97.12274","487200"
"https://www.zillow.com/homedetails/4412-Corner-Brook-Ln-Fort-Worth-TX-76123/58532226_zpid/","","House for sale","Single Family","6","06/18/2025","440000","4026","sqft","109.29","6882.48","sqft","4","4","4412 Corner Brook Ln","Fort Worth","76123","TX","USA","32.60618","-97.38983","432400"
"https://www.zillow.com/homedetails/608-Willowwood-Trl-Keller-TX-76248/29295570_zpid/","","House for sale","Single Family","4","06/20/2025","560000","2744","sqft","204.08","8015.04","sqft","4","4","608 Willowwood Trl","Keller","76248","TX","USA","32.90479","-97.23989","546300"
"https://www.zillow.com/homedetails/3736-Layton-Ave-Haltom-City-TX-76117/29145853_zpid/","","House for sale","Single Family","6","06/18/2025","199900","1080","sqft","185.09","8015.04","sqft","3","2","3736 Layton Ave","Haltom City","76117","TX","USA","32.818905","-97.28216","195300"
"https://www.zillow.com/homedetails/7424-Monterrey-Dr-Fort-Worth-TX-76112/28978967_zpid/","","House for sale","Single Family","4","06/20/2025","225000","1431","sqft","157.23","8755.56","sqft","3","2","7424 Monterrey Dr","Fort Worth","76112","TX","USA","32.750378","-97.19693","223600"
"https://www.zillow.com/homedetails/3000-Binyon-St-Fort-Worth-TX-76133/29156868_zpid/","","House for sale","Single Family","6","06/18/2025","265000","1326","sqft","199.85","10367.28","sqft","3","2","3000 Binyon St","Fort Worth","76133","TX","USA","32.67888","-97.35998","260400"
"https://www.zillow.com/homedetails/1108-Billie-Ruth-Ln-Hurst-TX-76053/28988356_zpid/","","House for sale","Single Family","12","06/12/2025","375000","2016","sqft","186.01","8058.6","sqft","4","2","1108 Billie Ruth Ln","Hurst","76053","TX","USA","32.82917","-97.19244","373200"
"https://www.zillow.com/homedetails/10260-E-Rancho-Diego-Ln-Crowley-TX-76036/452554777_zpid/","","House for sale","Single Family","27","05/28/2025","549000","2011","sqft","273","1","acres","4","2","10260 E Rancho Diego Ln","Crowley","76036","TX","USA","32.597168","-97.4038",""
"https://www.zillow.com/homedetails/1840-Greenfield-Ave-Fort-Worth-TX-76102/112170716_zpid/","","House for sale","Single Family","6","06/18/2025","250000","1180","sqft","211.86","6534","sqft","3","2","1840 Greenfield Ave","Fort Worth","76102","TX","USA","32.771446","-97.32141",""
"https://www.zillow.com/homedetails/612-Prairie-Gulch-Dr-Fort-Worth-TX-76140/54045586_zpid/","","House for sale","Single Family","5","06/19/2025","324900","2735","sqft","118.79","6054.84","sqft","4","3","612 Prairie Gulch Dr","Fort Worth","76140","TX","USA","32.596874","-97.327415",""
"https://www.zillow.com/homedetails/8313-White-Pine-Dr-Fort-Worth-TX-76123/337074881_zpid/","","House for sale","Single Family","6","06/18/2025","279500","1758","sqft","158.99","5009.4","sqft","4","3","8313 White Pine Dr","Fort Worth","76123","TX","USA","32.620785","-97.35864","277200"
"https://www.zillow.com/homedetails/912-Live-Oak-Ct-Arlington-TX-76012/29127030_zpid/","","House for sale","Single Family","6","06/18/2025","320000","2132","sqft","150.09","7143.84","sqft","3","2","912 Live Oak Ct","Arlington","76012","TX","USA","32.747128","-97.155914",""
"https://www.zillow.com/homedetails/613-Prairie-Gulch-Dr-Fort-Worth-TX-76140/83793612_zpid/","","House for sale","Single Family","11","06/13/2025","160000","2524","sqft","63.39","6534","sqft","3","2","613 Prairie Gulch Dr","Fort Worth","76140","TX","USA","32.59642","-97.32747","158300"
"https://www.zillow.com/homedetails/1117-Lake-Ridge-Dr-Azle-TX-76020/29021648_zpid/","","House for sale","Single Family","4","06/20/2025","299000","2006","sqft","149.05","9191.16","sqft","3","2","1117 Lake Ridge Dr","Azle","76020","TX","USA","32.88783","-97.52468","288500"
"https://www.zillow.com/homedetails/4629-Grant-Park-Ave-Fort-Worth-TX-76137/29304615_zpid/","","House for sale","Single Family","267","09/30/2024","287999","1495","sqft","192.64","5488.56","sqft","4","2","4629 Grant Park Ave","Fort Worth","76137","TX","USA","32.88058","-97.28582",""
"https://www.zillow.com/homedetails/5705-Kingstree-Ct-Arlington-TX-76017/28981317_zpid/","","House for sale","Single Family","3","06/21/2025","269900","1496","sqft","180.41","9378.47","sqft","2","2","5705 Kingstree Ct","Arlington","76017","TX","USA","32.6528","-97.17473","266600"
